Table 1 
Galaxy Sample


Galaxy	Type	Core	Distance	${M}_{{\rm{BH}}}$	${\mathrm{MAG}}_{{\rm{sph}}}$	${\mathrm{MAG}}_{{\rm{gal}}}$	[3.6]-[4.5]	${M}_{{\rm{*,sph}}}$	
			(Mpc)	$({10}^{8}\quad {M}_{\odot })$	(mag)	(mag)	(mag)	$({10}^{10}\quad {M}_{\odot })$	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	
NGC 4291	E	yes	25.5	${3.3}_{-2.5}^{+0.9}$	$-{24.05}_{-0.58}^{+0.66}$	-24.05 +or- 0.25	-0.11	${3.9}_{-1.8}^{+2.8}$	
NGC 4388	Sp (bar)	no?	17.0	${0.075}_{-0.002}^{+0.002}$	$-{21.26}_{-0.66}^{+0.88}$	$\leqslant -23.50$	-0.07	${0.46}_{-0.26}^{+0.39}$	
NGC 4459	S0	no	15.7	${0.68}_{-0.13}^{+0.13}$	$-{23.48}_{-0.58}^{+0.66}$	-24.01 +or- 0.25	-0.09	${2.9}_{-1.3}^{+2.1}$	
NGC 4473	E	no	15.3	${1.2}_{-0.9}^{+0.4}$	$-{23.88}_{-0.58}^{+0.66}$	-24.11 +or- 0.25	-0.10	${3.9}_{-1.8}^{+2.7}$	
NGC 4564	S0	no	14.6	${0.60}_{-0.09}^{+0.03}$	$-{22.30}_{-0.11}^{+0.18}$	-22.99 +or- 0.25	-0.11	${0.82}_{-0.12}^{+0.09}$	
NGC 4596	S0 (bar)	no	17.0	${0.79}_{-0.33}^{+0.38}$	$-{22.73}_{-0.11}^{+0.18}$	-24.18 +or- 0.25	-0.08	${1.6}_{-0.2}^{+0.2}$	
NGC 4697	E	no	11.4	${1.8}_{-0.1}^{+0.2}$	$-{24.82}_{-0.66}^{+0.88}$	-24.94 +or- 0.25	-0.09	${10}_{-6}^{+8}$	
NGC 4889	E	yes	103.2	${210}_{-160}^{+160}$	$-{27.54}_{-0.11}^{+0.18}$	-27.54 +or- 0.25	-0.12	${91}_{-14}^{+10}$	
NGC 4945	Sp (bar)	no?	3.8	${0.014}_{-0.007}^{+0.014}$	$-{20.96}_{-0.58}^{+0.66}$	$\leqslant -23.79$	-0.06	${0.36}_{-0.17}^{+0.26}$	
NGC 5077	E	yes	41.2	${7.4}_{-3.0}^{+4.7}$	$-{25.45}_{-0.11}^{+0.18}$	-25.45 +or- 0.25	-0.11	${15}_{-2}^{+2}$	
NGC 5128	merger	no?	3.8	${0.45}_{-0.10}^{+0.17}$	$-{23.89}_{-0.66}^{+0.88}$	-24.97 +or- 0.25	-0.07	${5.0}_{-2.8}^{+4.2}$	
NGC 5576	E	no	24.8	${1.6}_{-0.4}^{+0.3}$	$-{24.44}_{-0.11}^{+0.18}$	-24.44 +or- 0.25	-0.09	${7.1}_{-1.1}^{+0.8}$	
NGC 5845	S0	no	25.2	${2.6}_{-1.5}^{+0.4}$	$-{22.96}_{-0.66}^{+0.88}$	-23.10 +or- 0.25	-0.12	${1.4}_{-0.8}^{+1.2}$	
NGC 5846	E	yes	24.2	${11}_{-1}^{+1}$	$-{25.81}_{-0.58}^{+0.66}$	-25.81 +or- 0.25	-0.10	${22}_{-10}^{+16}$	
NGC 6251	E	yes?	104.6	${5}_{-2}^{+2}$	$-{26.75}_{-0.11}^{+0.18}$	-26.75 +or- 0.25	-0.12	${46}_{-7}^{+5}$	
NGC 7052	E	yes	66.4	${3.7}_{-1.5}^{+2.6}$	$-{26.32}_{-0.11}^{+0.18}$	-26.32 +or- 0.25	-0.11	${33}_{-5}^{+4}$	
NGC 7619	E	yes	51.5	${25}_{-3}^{+8}$	$-{26.35}_{-0.58}^{+0.66}$	-26.41 +or- 0.25	-0.11	${33}_{-15}^{+23}$	
NGC 7768	E	yes	112.8	${13}_{-4}^{+5}$	$-{26.90}_{-0.58}^{+0.66}$	-26.90 +or- 0.25	-0.11	${57}_{-26}^{+40}$	
UGC 03789	Sp (bar)	no?	48.4	${0.108}_{-0.005}^{+0.005}$	$-{22.77}_{-0.66}^{+0.88}$	-24.20 +or- 0.25	-0.07	${1.9}_{-1.0}^{+1.6}$	
Note. Column (1): Galaxy name. Column (2): morphological type (E = elliptical, S0 = lenticular, Sp = spiral, merger). The morphological classification of four galaxies is uncertain (E/S0 or S0/Sp). The presence of a bar is indicated. Column (3): presence of a partially depleted core. The question mark is used when the classification has come from the velocity dispersion criteria mentioned in Section 2. Column (4): distance. Column (5): black hole mass. Column (6): absolute $3.6\;\mu {\rm{m}}$ bulge magnitude. Bulge magnitudes come from our state-of-the-art multicomponent galaxy decompositions (Paper I), which include bulges, disks, bars, spiral arms, rings, halos, extended or unresolved nuclear sources, and partially depleted cores, and that - for the first time - were checked to be consistent with the galaxy kinematics. The uncertainties were estimated with a method that takes into account systematic errors, which are typically not considered by popular 2D fitting codes. Column (7): absolute $3.6\;\mu {\rm{m}}$ galaxy magnitude. Four galaxies had their magnitudes overestimated, which are given here as upper limits. Column (8): [3.6]-[4.5] color. Column (9): bulge stellar mass.
